NU_INSCRICAO;TP_COR_RACA;TP_ESCOLA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q002;Q006;media_geral
210058929337;3;1;BA;389.9;451.5;469.6;425.5;480.0;E;B;443.3
210061348809;3;2;PA;520.2;634.6;548.9;535.7;960.0;E;C;639.88
210060460443;2;3;DF;497.0;646.8;666.8;650.7;920.0;E;G;676.26
210061410598;2;1;AP;436.3;493.6;509.9;352.3;400.0;H;A;438.41999999999996
210059388098;3;1;MA;530.2;601.1;572.1;494.3;660.0;E;B;571.54
210059391011;3;1;RJ;511.6;592.3;620.8;599.0;780.0;C;E;620.74
210059855129;1;2;RS;443.9;500.8;512.7;409.1;720.0;G;B;517.3
210060022096;3;2;AP;443.9;419.5;459.6;366.4;620.0;B;B;461.88
210059416178;3;1;AL;637.8;711.5;688.7;786.5;920.0;E;B;748.9
210060007118;3;1;PB;580.9;458.3;497.2;537.8;520.0;B;B;518.8399999999999
210058802858;3;2;MA;446.9;490.1;475.5;360.3;560.0;E;B;466.56000000000006
210058941017;3;1;CE;582.9;551.7;461.7;640.0;760.0;D;D;599.26
210059111032;3;2;PI;544.5;568.7;522.8;585.5;840.0;E;B;612.3
210060656865;1;1;CE;663.7;651.6;658.1;778.9;980.0;F;F;746.4599999999999
210059123998;3;1;PA;451.5;452.7;398.8;366.2;480.0;D;B;429.84
210059457417;2;2;SE;409.7;539.1;477.5;344.3;680.0;G;B;490.12
210060728615;2;2;AP;496.1;522.3;529.3;562.9;800.0;C;B;582.12
210060656868;3;1;RJ;633.3;619.0;615.2;676.9;880.0;B;B;684.8799999999999
210058422583;2;2;RJ;470.4;468.8;491.1;371.6;720.0;D;B;504.37999999999994
210059123973;3;1;RN;409.2;441.3;506.4;377.5;560.0;F;B;458.87999999999994
210059362826;2;1;AM;498.3;601.6;536.0;463.5;500.0;B;B;519.88
210059950491;3;2;PE;505.2;434.6;419.3;445.1;360.0;F;H;432.84
210059641666;3;1;PE;419.3;417.9;421.3;437.6;360.0;C;B;411.21999999999997
210058395542;3;1;PA;553.0;615.7;582.1;695.5;640.0;E;A;617.26
210060514107;1;1;RS;506.6;563.4;531.4;361.0;920.0;B;C;576.48
210061410611;1;2;RS;441.4;553.9;529.8;622.9;940.0;E;M;617.6
210060118684;1;1;MG;678.8;677.3;689.7;799.3;940.0;G;J;757.0200000000001
210060007168;3;1;MG;587.5;596.1;585.9;615.4;960.0;E;B;668.98
210059555905;3;1;DF;573.5;634.0;620.7;695.4;900.0;B;B;684.72
210060079357;3;1;BA;476.9;563.1;600.5;565.9;660.0;E;B;573.28
210061244817;1;1;SE;336.5;325.4;471.1;481.0;520.0;H;B;426.8
210059316465;3;2;RJ;454.3;622.8;568.3;575.6;800.0;D;I;604.2
210059855142;1;2;SP;580.4;682.8;597.3;719.7;940.0;E;G;704.04
210058581167;3;2;PE;436.9;454.2;543.4;475.3;400.0;C;C;461.96000000000004
210058414431;3;2;SP;564.1;534.2;540.1;650.8;800.0;G;K;617.8399999999999
210059987611;1;1;MG;637.0;627.7;588.2;388.5;900.0;D;C;628.28
210059540831;1;1;CE;725.4;738.3;712.7;844.0;980.0;E;H;800.0800000000002
210058073333;3;2;BA;572.7;509.2;429.3;491.5;640.0;C;C;528.54
210058600576;1;1;SP;550.2;574.7;551.6;399.8;460.0;E;A;507.26000000000005
210060390718;3;1;RO;457.9;431.8;482.1;559.8;340.0;E;B;454.32
210058954716;3;1;CE;554.8;477.6;564.2;560.9;600.0;E;B;551.5
210061306631;1;2;RJ;542.2;582.0;569.7;729.3;940.0;H;E;672.64
210059883234;1;2;SP;465.6;542.4;549.8;576.9;740.0;E;B;574.9399999999999
210060697693;1;2;RS;527.6;652.5;615.4;575.6;740.0;E;G;622.22
210059995263;3;1;MG;395.6;450.1;461.4;335.9;0.0;D;C;328.6
210059654662;1;2;RS;467.4;528.4;557.8;414.7;640.0;E;L;521.66
210060388844;3;1;CE;642.5;647.5;643.8;749.3;700.0;E;C;676.62
210059995183;2;1;CE;531.1;643.2;598.5;659.2;940.0;B;D;674.4
210059416220;3;1;SC;388.9;537.6;464.6;352.9;540.0;B;A;456.8
210061254662;3;1;SP;552.9;560.1;541.4;394.9;700.0;B;C;549.8599999999999
210058941031;3;1;PB;686.6;677.3;670.7;844.3;940.0;E;H;763.7800000000001
210059937411;1;1;AC;516.1;517.5;580.6;580.8;860.0;B;J;611.0
210060386260;3;1;CE;507.2;451.3;375.1;464.1;400.0;C;B;439.53999999999996
210059909312;1;3;PB;573.2;572.6;581.6;654.0;840.0;C;B;644.28
210059065247;1;1;RS;604.9;677.8;628.9;721.6;960.0;C;D;718.64
210060469798;1;1;RN;752.9;754.2;561.3;820.9;980.0;F;H;773.86
210059669556;1;2;ES;446.6;425.2;307.9;346.5;460.0;D;C;397.24
210058600597;1;1;SP;588.1;578.4;605.4;640.6;900.0;E;D;662.5
210058468580;1;1;MG;614.7;721.8;692.7;800.3;580.0;E;E;681.9
210059848875;1;1;SP;473.7;561.4;528.5;412.1;760.0;C;B;547.14
210060064981;1;2;SP;501.9;561.0;583.7;475.0;620.0;E;C;548.3199999999999
210058422593;3;1;RN;478.3;570.1;596.5;462.7;640.0;B;B;549.52
210059974489;2;1;RJ;433.4;504.9;527.3;409.8;620.0;E;D;499.08000000000004
210059995247;1;1;CE;613.5;633.3;569.5;752.6;900.0;E;G;693.78
210061254653;1;1;RN;403.9;503.5;482.4;594.0;720.0;G;A;540.76
210058941494;3;1;BA;645.0;652.4;612.8;742.1;940.0;E;C;718.4599999999999
210058607270;3;1;BA;520.8;504.1;561.7;637.8;820.0;E;D;608.88
210060441013;1;2;RS;591.1;653.1;592.9;614.8;860.0;E;D;662.38
210058085120;3;1;PA;443.7;465.2;467.1;470.9;0.0;C;B;369.38
210061042434;3;1;PI;400.6;443.9;461.7;434.9;360.0;E;A;420.21999999999997
210059301417;3;2;SE;376.4;396.7;404.4;344.8;480.0;H;J;400.46
210061306756;3;1;BA;432.0;510.9;517.9;523.0;580.0;B;B;512.76
210059391045;1;1;PR;643.6;624.0;612.9;631.0;940.0;E;G;690.3
210061316612;1;1;PE;461.3;445.6;508.0;360.0;920.0;E;B;538.98
210059950470;1;1;BA;421.4;512.8;548.5;389.6;620.0;B;B;498.46000000000004
210058802871;3;2;PE;456.1;485.9;424.4;432.4;580.0;B;D;475.76000000000005
210061103953;3;1;MA;565.8;569.5;572.0;600.6;600.0;E;B;581.58
210058459090;0;1;SP;475.5;614.2;604.1;688.4;640.0;C;B;604.4399999999999
210058441459;3;1;MG;474.9;528.6;426.4;644.8;600.0;B;C;534.9399999999999
210061296764;0;2;GO;548.5;627.9;555.5;671.6;700.0;F;J;620.7
210060441022;1;1;PA;515.5;564.0;585.5;620.2;700.0;C;B;597.04
210059511715;3;1;MT;601.8;622.4;617.5;614.1;800.0;B;C;651.1600000000001
210059375970;1;1;BA;565.6;638.4;502.6;691.0;880.0;C;E;655.52
210058941020;1;1;PR;620.0;589.1;616.2;685.5;900.0;E;G;682.1600000000001
210059910671;1;1;SP;500.6;531.9;555.2;475.6;600.0;E;C;532.6600000000001
210060214116;3;2;CE;421.0;420.2;425.9;359.3;240.0;C;B;373.28
